State_Name,PC_NAME,CANDIDATES_NAME,Education,SEX,AGE,CATEGORY,PARTY_NAME,PARTY_SYMBOL,Political_History,Politican_Behavior,Work_Done,GENERAL _VOTES,POSTAL_VOTES,TOTAL_VOTES,OVERTOTALELECTORSINCONSTITUENCYVOTE %,OVERTOTALVOTESPOLLEDINCONSTITUENCYVOTE %,TotalElectorsVOTE %
Andhra Pradesh,Srikakulam,NAIDUGARI RAJASEKHAR,High School Diploma,MALE,35,GENERAL,DIN,Helicopter,Former Mayor,Ethical and Principled,Social welfare initiatives,5151,5,5156,0.331818825,0.442846517,1553860
Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,Medical degree (MD or MBBS),MALE,32,GENERAL,DPT,Bicycle,Former Member of Congress,Ethical and Principled,Transportation improvements,529213,5331,534544,34.40103999,45.91174333,1553860
Andhra Pradesh,Srikakulam,METTA RAMARAO,Engineering degree (B.E. or B.Tech),MALE,53,GENERAL,PnJ,Glass Tumbler,Former Member of Board of Supervisors,Fair and just,Transportation improvements,31319,637,31956,2.056555932,2.744686443,1553860
Andhra Pradesh,Srikakulam,DOLA JAGAN,Master of Science,MALE,53,GENERAL,NIC,Mango,Former Governor,Engaging and inspiring,International relations and diplomacy,13456,289,13745,0.884571326,1.180551858,1553860
Andhra Pradesh,Srikakulam,BETHA VIVEKANANDA MAHARAJ,Law degree (Juris Doctor or LL.B.),MALE,33,GENERAL,DIN,Football,Former Governor,Innovative and forward-thinking,Cultural and arts initiatives,3814,4,3818,0.245710682,0.3279263,1553860
Andhra Pradesh,Srikakulam,DUVVADA SRINIVAS,High School Diploma,MALE,52,GENERAL,SRCPY,Ceiling Fan,First-time candidate,Honest and trustworthy,Cultural and arts initiatives,520931,6960,527891,33.97288044,45.34032016,1553860
Andhra Pradesh,Srikakulam,PERLA SAMBA MURTHY,Law degree (Juris Doctor or LL.B.),MALE,58,GENERAL,JBP,Rose,Former Member of Board of Commissioners,Other relevant behaviors,Transportation improvements,7357,1033,8390,0.539945684,0.72061332,1553860
Andhra Pradesh,Srikakulam,MATTA SATISH CHAKRAVARTHY,Degree in Education,MALE,37,GENERAL,POPI,FLUTE,Former Member of School Board,Innovative and forward-thinking,Healthcare improvement,1441,7,1448,0.093187288,0.124368068,1553860
Andhra Pradesh,Srikakulam,NAMBALLA KRISHNA MOHAN,Law degree (Juris Doctor or LL.B.),MALE,44,GENERAL,DIN,Electric Pole,Incumbent,Honest and trustworthy,Other relevant work,4829,7,4836,0.311224949,0.415361861,1553860
Andhra Pradesh,Vizianagaram,Ashok Gajapathi Raju Pusapati,PhD in Economics,MALE,67,GENERAL,DPT,Bicycle,Other relevant political positions,Consistent and reliable,Agricultural and rural development,527307,3075,530382,35.26522959,43.38740855,1503980
Andhra Pradesh,Vizianagaram,Adiraju Yedla,Master's degree in Public Administration,MALE,52,GENERAL,NIC,Mango,Former Member of Congress,Decisive and assertive,Healthcare improvement,15607,118,15725,1.045559116,1.286369069,1503980
Andhra Pradesh,Vizianagaram,Sanyasi Raju Pakalapati,Degree in Sociology,MALE,60,GENERAL,JBP,Rose,Former Member of County Council,Fair and just,Education reform,6902,364,7266,0.483118127,0.594388404,1503980
Andhra Pradesh,Vizianagaram,Bellana Chandrakantra Sekhar,Degree in History,MALE,57,GENERAL,SRCPY,Ceiling Fan,Former Governor,Responsive and accessible,Legislative and policy initiatives,573466,4952,578418,38.45915504,47.31694907,1503980
Andhra Pradesh,Vizianagaram,Mukka Srinivas Rao,Degree in Conservation,MALE,39,GENERAL,PnJ,Glass Tumbler,Former Member of City Council,Responsive and accessible,Other relevant work,33779,413,34192,2.273434487,2.79704491,1503980
Andhra Pradesh,Vizianagaram,Yella Rao Siyyadula,Law degree (Juris Doctor or LL.B.),MALE,37,SC,DIN,Gas CylDINer,Former Senator,Consistent and reliable,Job creation initiatives,1010,0,1010,0.067155148,0.082622115,1503980
Andhra Pradesh,Vizianagaram,Surya Bhavani. K,Degree in History,FEMALE,38,GENERAL,POPI,FLUTE,Former Member of Board of Commissioners,Adaptable and flexible,Education reform,822,8,830,0.055186904,0.067897382,1503980
Andhra Pradesh,Vizianagaram,P.V.A. Ananda Sagar,PhD in Political Science,MALE,55,GENERAL,SAPRP,Electric Pole,Former Member of County Council,Innovative and forward-thinking,Transportation improvements,4981,2,4983,0.331320895,0.407629702,1503980
Andhra Pradesh,Vizianagaram,Lagudu. GovNIDa Rao,PhD in Economics,MALE,39,GENERAL,PAJJG,Mike,Former Member of City Council,Other relevant behaviors,Legislative and policy initiatives,787,4,791,0.052593784,0.064707023,1503980
Andhra Pradesh,Vizianagaram,Pentapati Rajesh,Master of Science,MALE,39,GENERAL,DIN,Battery Torch,Former Member of School Board,Honest and trustworthy,International relations and diplomacy,1461,1,1462,0.097208739,0.119597557,1503980
Andhra Pradesh,Vizianagaram,Venkata TrNIDha Rao Veluri,Degree in Economics,MALE,52,GENERAL,DIN,Sitar,Former Senator,Open-Minded and Inclusive,Education reform,6336,2,6338,0.421415178,0.518474223,1503980
Andhra Pradesh,Vizianagaram,Dhanalakoti Ramana,Degree in History,MALE,29,GENERAL,DIN,Matchbox,Incumbent,Other relevant behaviors,Job creation initiatives,1172,4,1176,0.078192529,0.096201591,1503980
Andhra Pradesh,Vizianagaram,Chiranjeevi Lingala,Degree in Economics,MALE,28,GENERAL,ACP,Tooth Brush,Former Governor,Engaging and inspiring,Agricultural and rural development,1261,2,1263,0.083977181,0.103318546,1503980
Andhra Pradesh,Vizianagaram,Ijjurouthu Ramunaidu,Degree in History,MALE,47,GENERAL,DIN,Coat,First-time candidate,Respectful and courteous,Cultural and arts initiatives,4550,3,4553,0.302730089,0.37245395,1503980
Andhra Pradesh,Visakhapatnam,BHARAT MATHUKUMILLI,Other relevant degrees or certifications,MALE,29,GENERAL,DPT,Bicycle,First-time candidate,Ethical and Principled,Legislative and policy initiatives,431093,1399,432492,23.6424862,34.88060933,1829300
Andhra Pradesh,Visakhapatnam,V.V. LAKSHMI NARAYANA,Engineering degree (B.E. or B.Tech),MALE,53,GENERAL,PnJ,Glass Tumbler,Former Governor,Responsive and accessible,Healthcare improvement,287072,1802,288874,15.79150495,23.29777462,1829300
Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,Degree in History,MALE,52,GENERAL,SRCPY,Ceiling Fan,Former Member of Parliament,Empathetic and compassionate,Infrastructure development,433968,2938,436906,23.88378068,35.23659975,1829300
Andhra Pradesh,Visakhapatnam,DAGGUBATI PURANDESWARI,Medical degree (MD or MBBS),FEMALE,58,GENERAL,JBP,Rose,Former Member of Board of Commissioners,Adaptable and flexible,Housing initiatives,33430,462,33892,1.852730553,2.73339995,1829300
Andhra Pradesh,Visakhapatnam,B. JAYA VENU GOPAL,Engineering degree (B.E. or B.Tech),MALE,30,GENERAL,POPI,FLUTE,Former Governor,Empathetic and compassionate,Economic development,1622,5,1627,0.088941125,0.131218037,1829300
Andhra Pradesh,Visakhapatnam,GEORGE BANGARI,Master's degree in Public Administration,MALE,46,SC,KVC,Stool,Former Member of Board of Trustees,Empathetic and compassionate,Housing initiatives,3027,1,3028,0.165527798,0.244209107,1829300
Andhra Pradesh,Visakhapatnam,KOTHAPALLI GEETHA,Other relevant degrees or certifications,FEMALE,48,GENERAL,DIN,Mike,Former Member of Congress,Fair and just,Agricultural and rural development,1155,3,1158,0.063302903,0.093393047,1829300
Andhra Pradesh,Visakhapatnam,PEDADA. RAMANIKUMARI,Law degree (Juris Doctor or LL.B.),FEMALE,48,GENERAL,NIC,Mango,Other relevant political positions,Consistent and reliable,Healthcare improvement,14550,83,14633,0.799923468,1.180155833,1829300
Andhra Pradesh,Visakhapatnam,DURGAPRASAD. GUNTU,Degree in Environmental Science,MALE,51,GENERAL,DIN,Letter Box,Former Member of Congress,Fair and just,Social welfare initiatives,2463,1,2464,0.134696332,0.198722338,1829300
Andhra Pradesh,Visakhapatnam,ANMISH VARMA,Degree in Conservation,MALE,26,GENERAL,DIN,Bat,Other relevant political positions,Other relevant behaviors,Other relevant work,1904,11,1915,0.104684852,0.154445324,1829300
Andhra Pradesh,Visakhapatnam,GAMPALA SOMASUNDARAM,Degree in History,MALE,76,GENERAL,DIN,COCONUT FARM,Other relevant political positions,Empathetic and compassionate,Social welfare initiatives,1127,1,1128,0.061662931,0.090973538,1829300
Andhra Pradesh,Visakhapatnam,PULAPAKA RAJA SEKHAR,Degree in Environmental Science,MALE,40,GENERAL,DIN,Gas CylDINer,Other relevant political positions,Open-Minded and Inclusive,Legislative and policy initiatives,2294,0,2294,0.12540316,0.185011787,1829300
Andhra Pradesh,Visakhapatnam,GANNU MALLAYYA,Degree in Conservation,MALE,70,GENERAL,DIN,Ganna Kisan,Former Member of School Board,Decisive and assertive,Healthcare improvement,1311,2,1313,0.071776089,0.105893843,1829300
Andhra Pradesh,Visakhapatnam,R. UDAYA GOWRI,Master's degree in Public Administration,FEMALE,44,GENERAL,DIN,DIAMOND,Incumbent,Other relevant behaviors,Job creation initiatives,1384,0,1384,0.075657355,0.111620015,1829300
Andhra Pradesh,Anakapalli,Vadlamuri Krishna Swaroop,Medical degree (MD or MBBS),MALE,46,SC,BAPDA,Cup & Saucer,Former Member of County Council,Engaging and inspiring,Public safety initiatives,4443,1,4444,0.292106486,0.358255351,1521363
Andhra Pradesh,Anakapalli,K B SWAROOP,Degree in Education,MALE,51,GENERAL,PAJJG,Mike,Former Senator,Empathetic and compassionate,Public safety initiatives,1615,6,1621,0.106549193,0.130677751,1521363
Andhra Pradesh,Anakapalli,ADARI ANAND KUMAR,Associate Degree,MALE,43,GENERAL,DPT,Bicycle,Former Member of School Board,Honest and trustworthy,Transportation improvements,495381,1653,497034,32.67030945,40.06865217,1521363
Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,Degree in Sociology,FEMALE,52,GENERAL,SRCPY,Ceiling Fan,Former Member of Legislative Assembly,Empathetic and compassionate,Public safety initiatives,583210,3016,586226,38.5329471,47.25891124,1521363
Andhra Pradesh,Anakapalli,P.S.AJAY KUMAR,Degree in Conservation,MALE,57,GENERAL,MICPLL,Flag with Three Stars,Former Member of City Council,Honest and trustworthy,Education reform,2708,8,2716,0.178524126,0.21895174,1521363
Andhra Pradesh,Anakapalli,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),Degree in History,MALE,65,GENERAL,JBP,Rose,Former Member of Congress,Engaging and inspiring,Transportation improvements,12888,388,13276,0.872638548,1.070251585,1521363
Andhra Pradesh,Anakapalli,Chintala Partha Sarathi,Degree in Conservation,MALE,56,GENERAL,PnJ,Glass Tumbler,First-time candidate,Responsive and accessible,Community development,82126,462,82588,5.428553212,6.657874201,1521363
Andhra Pradesh,Anakapalli,Ruthala Srirama Murthy,Degree in Sociology,MALE,49,GENERAL,NIC,Mango,Former Member of County Council,Committed and dedicated,Housing initiatives,10072,49,10121,0.665258719,0.815909633,1521363
Andhra Pradesh,Anakapalli,Appala Naidu Tummagunta,Master of Science,MALE,37,GENERAL,DIN,Laptop,Former Member of Board of Supervisors,Respectful and courteous,Education reform,3760,5,3765,0.247475455,0.303517416,1521363
Andhra Pradesh,Anakapalli,Taadi Veera Jagadeeshwari,Bachelor of Arts,FEMALE,65,GENERAL,POPI,FLUTE,Former Member of Board of Trustees,Transparent and accountable,Infrastructure development,1801,2,1803,0.11851215,0.145349775,1521363
Andhra Pradesh,Kakinada,ANKADI SATHIBABU,Degree in Economics,MALE,45,GENERAL,DIN,Basket containing Fruits,Former Member of City Council,Decisive and assertive,Technology and innovation initiatives,1381,0,1381,0.088303185,0.111657856,1563930
Andhra Pradesh,Kakinada,MALLIPUDI SRI RAMAChandrakantRA MURTHY (RAMBABU),Medical degree (MD or MBBS),MALE,66,GENERAL,NIC,Mango,Former Member of County Council,Consistent and reliable,Technology and innovation initiatives,8601,39,8640,0.552454394,0.698569065,1563930
Andhra Pradesh,Kakinada,JYOTHULA VENKATESWARA RAO,Degree in Education,MALE,62,GENERAL,PnJ,Glass Tumbler,Former Member of Board of Trustees,Transparent and accountable,Economic development,132124,524,132648,8.481709539,10.72497562,1563930
Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,MBA (Master of Business Administration),FEMALE,55,GENERAL,SRCPY,Ceiling Fan,Former Governor,Collaborative and cooperative,Other relevant work,534655,2975,537630,34.3768583,43.46894521,1563930
Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,Associate Degree,MALE,49,GENERAL,DPT,Bicycle,Former Member of Board of Trustees,Collaborative and cooperative,Education reform,508361,3531,511892,32.73113247,41.38795324,1563930
Andhra Pradesh,Kakinada,GODUGU SATYANARAYANA,MBA (Master of Business Administration),MALE,40,SC,MICPLL,Flag with Three Stars,Incumbent,Other relevant behaviors,Cultural and arts initiatives,1723,1,1724,0.110235113,0.139390401,1563930
Andhra Pradesh,Kakinada,YALLA VENKATA RAMA MOHAN RAO (DORABABU),Bachelor of Arts,MALE,46,GENERAL,JBP,Rose,First-time candidate,Honest and trustworthy,Economic development,9456,140,9596,0.613582449,0.775864439,1563930
Andhra Pradesh,Kakinada,SATHI VEERALAKSHMI,Master's degree in Public Administration,FEMALE,38,GENERAL,POPI,FLUTE,Former Member of Board of Commissioners,Fair and just,Environmental protection,1117,2,1119,0.071550517,0.090474396,1563930
Andhra Pradesh,Kakinada,KAKILETI RAVNIDRA,Degree in Economics,MALE,41,SC,DIN,Electric Pole,First-time candidate,Consistent and reliable,Housing initiatives,3325,2,3327,0.212733306,0.268997602,1563930
Andhra Pradesh,Kakinada,DONAM NEELAKANTAM,Associate Degree,MALE,49,SC,PPAIN,Boat with Man and Sail,Former Mayor,Collaborative and cooperative,Transportation improvements,980,0,980,0.062662651,0.079235843,1563930
Andhra Pradesh,Kakinada,PEDDIMSETTI. VENKATESWARARAO,Engineering degree (B.E. or B.Tech),MALE,46,GENERAL,PAJJG,Mike,Former Member of Congress,Ethical and Principled,Housing initiatives,812,3,815,0.052112307,0.065895114,1563930
Andhra Pradesh,Kakinada,B. GEETHA,Degree in Environmental Science,FEMALE,34,GENERAL,SHRPP,Helicopter,Former Mayor,Decisive and assertive,Public safety initiatives,1687,1,1688,0.10793322,0.136479697,1563930
Andhra Pradesh,Kakinada,MEDISETTI VIJAYA KUMAR,Associate Degree,MALE,53,GENERAL,DIN,COCONUT FARM,Former Member of School Board,Ethical and Principled,Infrastructure development,2051,0,2051,0.131143977,0.1658293,1563930
Andhra Pradesh,Kakinada,APPALAKONDA VANGALAPUDI,PhD in Economics,MALE,28,SC,PMP,Telephone,Former Member of Legislative Assembly,Open-Minded and Inclusive,International relations and diplomacy,2997,0,2997,0.191632618,0.242316145,1563930
Andhra Pradesh,Kakinada,VASAMSETTY VENKATARAMANA,Medical degree (MD or MBBS),MALE,56,GENERAL,AIFB,Lion,Former Member of Parliament,Engaging and inspiring,Agricultural and rural development,1012,2,1014,0.064836661,0.081984842,1563930
Andhra Pradesh,Amalapuram,REVU SUDHAKAR,Engineering degree (B.E. or B.Tech),MALE,34,SC,DIN,Gas Stove,Former Member of Congress,Respectful and courteous,Technology and innovation initiatives,2774,1,2775,0.190126312,0.224629422,1459556
Andhra Pradesh,Amalapuram,GANTI HARISH MADHUR (BALAYOGI),Medical degree (MD or MBBS),MALE,28,SC,DPT,Bicycle,Former Member of Board of Trustees,Responsive and accessible,Cultural and arts initiatives,443590,2573,446163,30.56840573,36.11579707,1459556
Andhra Pradesh,Amalapuram,D M R SEKHAR,High School Diploma,MALE,59,SC,PnJ,Glass Tumbler,Former Member of School Board,Honest and trustworthy,Other relevant work,253740,1577,255317,17.49278548,20.66728295,1459556
Andhra Pradesh,Amalapuram,CHINTA ANURADHA,MBA (Master of Business Administration),FEMALE,46,SC,SRCPY,Ceiling Fan,Former Member of School Board,Ethical and Principled,International relations and diplomacy,482003,3955,485958,33.29491982,39.33710441,1459556
Andhra Pradesh,Amalapuram,JANGA GOUTHAM,Other relevant degrees or certifications,MALE,49,SC,NIC,Mango,Former Member of School Board,Adaptable and flexible,Economic development,7849,38,7887,0.540369811,0.638433244,1459556
Andhra Pradesh,Amalapuram,MORTHA SIVA RAMA KRISHNA,Degree in Economics,MALE,29,SC,POPI,FLUTE,Former Member of City Council,Open-Minded and Inclusive,Education reform,1950,4,1954,0.13387633,0.158171492,1459556
Andhra Pradesh,Amalapuram,MURALIKRISHNA KANDERI,Other relevant degrees or certifications,MALE,41,SC,BIPP,Trumpet,Former Member of Parliament,Adaptable and flexible,Legislative and policy initiatives,1803,1,1804,0.123599232,0.146029361,1459556
Andhra Pradesh,Amalapuram,CHELLE RAJANI,Degree in Conservation,MALE,30,SC,PAJJG,Mike,Former Governor,Adaptable and flexible,Social welfare initiatives,1231,0,1231,0.084340717,0.099646421,1459556
Andhra Pradesh,Amalapuram,AYYAJI VEMA MANEPALLI,Master of Science,MALE,58,SC,JBP,Rose,Other relevant political positions,Fair and just,Public safety initiatives,11376,158,11534,0.79024032,0.933648921,1459556
Andhra Pradesh,Amalapuram,PANTHAGADA VIJAYA CHAKRAVARTHY,Law degree (Juris Doctor or LL.B.),MALE,65,SC,RPIKH,Gas CylDINer,Incumbent,Decisive and assertive,Education reform,1804,0,1804,0.123599232,0.146029361,1459556
Andhra Pradesh,Rajahmundry,MAGANTI ROOPA,Medical degree (MD or MBBS),FEMALE,45,GENERAL,DPT,Bicycle,Former Member of Congress,Consistent and reliable,Cultural and arts initiatives,459100,1290,460390,30.00737817,36.81682671,1534256
Andhra Pradesh,Rajahmundry,MEDA SRINIVAS,Bachelor of Arts,MALE,50,GENERAL,RPCS,Ring,Former Member of School Board,Other relevant behaviors,Public safety initiatives,994,2,996,0.064917458,0.079648905,1534256
Andhra Pradesh,Rajahmundry,MARGANI BHARAT,Degree in Environmental Science,MALE,36,GENERAL,SRCPY,Ceiling Fan,Former Senator,Committed and dedicated,Education reform,578471,3553,582024,37.93525983,46.54374932,1534256
Andhra Pradesh,Rajahmundry,KURUVELLA BHANUChandrakantAR,PhD in Economics,MALE,33,SC,DIN,Air Conditioner,Former Member of Board of Aldermen,Committed and dedicated,Environmental protection,1242,0,1242,0.080951288,0.099321225,1534256
Andhra Pradesh,Rajahmundry,NALLURI VIJAYA SRINIVASA RAO,Medical degree (MD or MBBS),MALE,55,GENERAL,NIC,Mango,Former Member of Legislative Council,Collaborative and cooperative,Cultural and arts initiatives,12678,47,12725,0.829392227,1.017602728,1534256
Andhra Pradesh,Rajahmundry,AKULA SATYANARAYANA,Engineering degree (B.E. or B.Tech),MALE,55,GENERAL,PnJ,Glass Tumbler,Former Senator,Innovative and forward-thinking,Community development,155164,643,155807,10.1552153,12.45969573,1534256
Andhra Pradesh,Rajahmundry,PARAVASTU SATYA GOPINATH DAS,MBA (Master of Business Administration),MALE,47,GENERAL,JBP,Rose,Former Member of Board of Supervisors,Fair and just,Environmental protection,12165,169,12334,0.803907562,0.986334935,1534256
Andhra Pradesh,Rajahmundry,SANGISETTI SRINIVASA RAO,Degree in Conservation,MALE,50,GENERAL,POPI,FLUTE,Former Member of Parliament,Adaptable and flexible,Healthcare improvement,1156,5,1161,0.075671857,0.092843754,1534256
Andhra Pradesh,Rajahmundry,GEDDAM DAVID NELSON BABU,Degree in History,MALE,60,GENERAL,PoAI,Coat,Other relevant political positions,Honest and trustworthy,Infrastructure development,1752,5,1757,0.114518047,0.140505147,1534256
Andhra Pradesh,Rajahmundry,KOLLAPU VENU,Medical degree (MD or MBBS),MALE,41,SC,DIN,Electric Pole,Former Member of Board of Commissioners,Responsive and accessible,Education reform,2868,1,2869,0.186996173,0.22943043,1534256
Andhra Pradesh,Rajahmundry,BANDARU RAJESWARA RAO,Bachelor of Arts,MALE,59,GENERAL,PAJJG,Mike,Former Member of Congress,Collaborative and cooperative,Education reform,1034,1,1035,0.067459407,0.082767687,1534256
Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,Other relevant degrees or certifications,MALE,57,GENERAL,SRCPY,Ceiling Fan,Incumbent,Empathetic and compassionate,Environmental protection,444376,4858,449234,31.20350131,38.09773381,1439691
Andhra Pradesh,Narsapuram,YELLA VENU GOPAL RAO,Master of Science,MALE,63,GENERAL,PSVN,Gas CylDINer,Former Member of Legislative Assembly,Decisive and assertive,Infrastructure development,4284,2,4286,0.297702771,0.36347847,1439691
Andhra Pradesh,Narsapuram,MEDAPATI VARAHALA REDDY,Degree in Economics,MALE,44,GENERAL,DIN,Road Roller,Former Member of Parliament,Honest and trustworthy,Healthcare improvement,2681,3,2684,0.186428893,0.227619275,1439691
Andhra Pradesh,Narsapuram,GOTTUMUKKALA SHIVAJI,Degree in Environmental Science,MALE,48,SC,DIN,T.V. Remote,Incumbent,Committed and dedicated,International relations and diplomacy,1275,0,1275,0.08856067,0.108127636,1439691
Andhra Pradesh,Narsapuram,PYDIKONDALA MANIKYALA RAO,Engineering degree (B.E. or B.Tech),MALE,59,GENERAL,JBP,Rose,Former Member of Board of Commissioners,Innovative and forward-thinking,Cultural and arts initiatives,12154,260,12414,0.862268362,1.052781552,1439691
Andhra Pradesh,Narsapuram,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),Other relevant degrees or certifications,MALE,48,GENERAL,DPT,Bicycle,Former Mayor,Transparent and accountable,Technology and innovation initiatives,414547,2011,416558,28.93384761,35.32661331,1439691
Andhra Pradesh,Narsapuram,NAGABABU KONIDELA,PhD in Economics,MALE,58,GENERAL,PnJ,Glass Tumbler,Former Member of Board of Aldermen,Honest and trustworthy,Community development,249188,1614,250802,17.42054371,21.26951174,1439691
Andhra Pradesh,Narsapuram,K.A.PAUL,PhD in Political Science,MALE,55,GENERAL,SHRPP,Helicopter,Former Member of Legislative Assembly,Committed and dedicated,Infrastructure development,3027,19,3046,0.211573178,0.258319044,1439691
Andhra Pradesh,Narsapuram,NALLAM SURYA ChandrakantRA RAO,Master's degree in Public Administration,MALE,59,GENERAL,POPI,FLUTE,Former Member of Board of Trustees,Transparent and accountable,Technology and innovation initiatives,2201,9,2210,0.153505162,0.187421236,1439691
Andhra Pradesh,Narsapuram,NALLI RAJESH,Master's degree in Public Administration,MALE,36,SC,DIN,Electric Pole,Former Senator,Collaborative and cooperative,Cultural and arts initiatives,2651,2,2653,0.184275654,0.22499029,1439691
Andhra Pradesh,Narsapuram,GURUGUBILLI RAMBABU,Other relevant degrees or certifications,MALE,52,GENERAL,MCPI,COMPUTER,Former Member of Parliament,Decisive and assertive,Agricultural and rural development,583,0,583,0.040494801,0.049441892,1439691
Andhra Pradesh,Narsapuram,DASARI KRISHNA MURTHY,Degree in Sociology,MALE,32,GENERAL,BIPP,Trumpet,Former Member of Board of Commissioners,Other relevant behaviors,Social welfare initiatives,1603,0,1603,0.111343337,0.135944001,1439691
Andhra Pradesh,Narsapuram,KANUMURU BAPIRAJU,High School Diploma,MALE,71,GENERAL,NIC,Mango,Former Member of Board of Commissioners,Open-Minded and Inclusive,Housing initiatives,13809,132,13941,0.968332788,1.182280297,1439691
Andhra Pradesh,Narsapuram,G S RAJU,MBA (Master of Business Administration),MALE,51,GENERAL,SP,Tractor Chalata Kisan,Former Member of Parliament,Responsive and accessible,Environmental protection,3468,3,3471,0.241093401,0.294361589,1439691
Andhra Pradesh,Narsapuram,GANJI PURNIMA,Degree in Conservation,FEMALE,36,GENERAL,RPIA,Apple,Incumbent,Decisive and assertive,Infrastructure development,867,2,869,0.060360175,0.073696405,1439691
Andhra Pradesh,Eluru,CHINA VENKATA SURYANARAYANA JOSYULA,MBA (Master of Business Administration),MALE,62,GENERAL,POPI,FLUTE,Former Member of Board of Commissioners,Engaging and inspiring,Cultural and arts initiatives,2932,3,2935,0.184018308,0.220310612,1594950
Andhra Pradesh,Eluru,KOTAGIRI SRIDHAR,Degree in Environmental Science,MALE,46,GENERAL,SRCPY,Ceiling Fan,Former Member of Board of Commissioners,Committed and dedicated,Other relevant work,672834,3975,676809,42.43449638,50.80347693,1594950
Andhra Pradesh,Eluru,MAGANTTI VENKATESWARA RAO BABU,Degree in Environmental Science,MALE,59,GENERAL,DPT,Bicycle,Other relevant political positions,Innovative and forward-thinking,Social welfare initiatives,509549,1335,510884,32.03134895,38.3486087,1594950
Andhra Pradesh,Eluru,PENTAPATI PULLARAO,Associate Degree,MALE,71,GENERAL,PnJ,Glass Tumbler,Former Member of City Council,Other relevant behaviors,Public safety initiatives,76481,346,76827,4.816890812,5.766883599,1594950
Andhra Pradesh,Eluru,CHINNAM RAMA KOTAYYA,Law degree (Juris Doctor or LL.B.),MALE,58,GENERAL,JBP,Rose,Former Member of Parliament,Decisive and assertive,Education reform,8317,95,8412,0.527414652,0.631431981,1594950
Andhra Pradesh,Eluru,Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),PhD in Political Science,MALE,46,SC,DIN,Helmet,Former Mayor,Committed and dedicated,Other relevant work,3010,0,3010,0.18872065,0.225940355,1594950
